0.000 5.596 0.113
0.001 5.587 0.113
0.002 5.577 0.113
0.003 5.568 0.113
0.004 5.559 0.113
0.005 5.550 0.114
0.006 5.541 0.114
0.007 5.532 0.114
0.008 5.523 0.114
0.009 5.513 0.114
0.010 5.505 0.114
0.011 5.495 0.115
0.012 5.487 0.115
0.013 5.477 0.115
0.014 5.468 0.115
0.015 5.459 0.115
0.016 5.449 0.116
0.017 5.441 0.116
0.018 5.431 0.116
0.019 5.422 0.116
0.020 5.412 0.116
0.021 5.404 0.117
0.022 5.394 0.117
0.023 5.385 0.117
0.024 5.375 0.117
0.025 5.367 0.117
0.026 5.357 0.118
0.027 5.348 0.118
0.028 5.338 0.118
0.029 5.329 0.118
0.030 5.319 0.118
0.031 5.310 0.119
0.032 5.301 0.119
0.033 5.292 0.119
0.034 5.282 0.119
0.035 5.272 0.119
0.036 5.263 0.120
0.037 5.253 0.120
0.038 5.244 0.120
0.039 5.234 0.120
0.040 5.225 0.121
0.041 5.215 0.121
0.042 5.206 0.121
0.043 5.197 0.121
0.044 5.187 0.121
0.045 5.178 0.122
0.046 5.168 0.122
0.047 5.159 0.122
0.048 5.149 0.122
0.049 5.139 0.123
0.050 5.130 0.123
0.051 5.120 0.123
0.052 5.110 0.123
0.053 5.101 0.124
0.054 5.090 0.124
0.055 5.081 0.124
0.056 5.072 0.124
0.057 5.061 0.124
0.058 5.052 0.125
0.059 5.042 0.125
0.060 5.032 0.125
0.061 5.022 0.125
0.062 5.013 0.126
0.063 5.003 0.126
0.064 4.993 0.126
0.065 4.983 0.126
0.066 4.973 0.127
0.067 4.963 0.127
0.068 4.954 0.127
0.069 4.944 0.127
0.070 4.934 0.128
0.071 4.924 0.128
0.072 4.914 0.128
0.073 4.904 0.128
0.074 4.894 0.129
0.075 4.884 0.129
0.076 4.874 0.129
0.077 4.864 0.130
0.078 4.854 0.130
0.079 4.844 0.130
0.080 4.834 0.130
0.081 4.824 0.131
0.082 4.813 0.131
0.083 4.803 0.131
0.084 4.793 0.131
0.085 4.783 0.132
0.086 4.773 0.132
0.087 4.763 0.132
0.088 4.752 0.133
0.089 4.742 0.133
0.090 4.732 0.133
0.091 4.722 0.133
0.092 4.711 0.134
0.093 4.701 0.134
0.094 4.691 0.134
0.095 4.681 0.135
0.096 4.670 0.135
0.097 4.660 0.135
0.098 4.649 0.135
0.099 4.639 0.136
0.100 4.629 0.136
0.101 4.618 0.136
0.102 4.608 0.137
0.103 4.597 0.137
0.104 4.587 0.137
0.105 4.576 0.138
0.106 4.566 0.138
0.107 4.555 0.138
0.108 4.545 0.139
0.109 4.534 0.139
0.110 4.524 0.139
0.111 4.513 0.140
0.112 4.502 0.140
0.113 4.492 0.140
0.114 4.481 0.141
0.115 4.471 0.141
0.116 4.460 0.141
0.117 4.449 0.142
0.118 4.438 0.142
0.119 4.428 0.142
0.120 4.417 0.143
0.121 4.406 0.143
0.122 4.395 0.143
0.123 4.384 0.144
0.124 4.374 0.144
0.125 4.363 0.144
0.126 4.352 0.145
0.127 4.341 0.145
0.128 4.330 0.145
0.129 4.319 0.146
0.130 4.308 0.146
0.131 4.297 0.147
0.132 4.286 0.147
0.133 4.275 0.147
0.134 4.264 0.148
0.135 4.253 0.148
0.136 4.242 0.148
0.137 4.231 0.149
0.138 4.220 0.149
0.139 4.209 0.150
0.140 4.198 0.150
0.141 4.186 0.150
0.142 4.175 0.151
0.143 4.164 0.151
0.144 4.153 0.152
0.145 4.141 0.152
0.146 4.130 0.152
0.147 4.119 0.153
0.148 4.108 0.153
0.149 4.096 0.154
0.150 4.085 0.154
0.151 4.074 0.154
0.152 4.062 0.155
0.153 4.051 0.155
0.154 4.039 0.156
0.155 4.028 0.156
0.156 4.016 0.157
0.157 4.005 0.157
0.158 3.993 0.158
0.159 3.982 0.158
0.160 3.970 0.158
0.161 3.958 0.159
0.162 3.947 0.159
0.163 3.935 0.160
0.164 3.924 0.160
0.165 3.912 0.161
0.166 3.900 0.161
0.167 3.888 0.162
0.168 3.877 0.162
0.169 3.865 0.163
0.170 3.853 0.163
0.171 3.841 0.164
0.172 3.829 0.164
0.173 3.817 0.165
0.174 3.806 0.165
0.175 3.794 0.166
0.176 3.782 0.166
0.177 3.770 0.167
0.178 3.758 0.167
0.179 3.746 0.168
0.180 3.734 0.168
0.181 3.722 0.169
0.182 3.709 0.169
0.183 3.697 0.170
0.184 3.685 0.171
0.185 3.673 0.171
0.186 3.661 0.172
0.187 3.649 0.172
0.188 3.636 0.173
0.189 3.624 0.173
0.190 3.612 0.174
0.191 3.600 0.175
0.192 3.587 0.175
0.193 3.575 0.176
0.194 3.562 0.176
0.195 3.550 0.177
0.196 3.538 0.178
0.197 3.525 0.178
0.198 3.513 0.179
0.199 3.500 0.179
0.200 3.488 0.180
0.201 3.475 0.181
0.202 3.462 0.181
0.203 3.450 0.182
0.204 3.437 0.183
0.205 3.424 0.183
0.206 3.412 0.184
0.207 3.399 0.185
0.208 3.386 0.185
0.209 3.373 0.186
0.210 3.360 0.187
0.211 3.348 0.187
0.212 3.335 0.188
0.213 3.322 0.189
0.214 3.309 0.190
0.215 3.296 0.190
0.216 3.283 0.191
0.217 3.270 0.192
0.218 3.257 0.193
0.219 3.244 0.193
0.220 3.231 0.194
0.221 3.217 0.195
0.222 3.204 0.196
0.223 3.191 0.196
0.224 3.178 0.197
0.225 3.165 0.198
0.226 3.151 0.199
0.227 3.138 0.200
0.228 3.125 0.200
0.229 3.111 0.201
0.230 3.098 0.202
0.231 3.084 0.203
0.232 3.071 0.204
0.233 3.057 0.205
0.234 3.044 0.206
0.235 3.030 0.206
0.236 3.017 0.207
0.237 3.003 0.208
0.238 2.989 0.209
0.239 2.976 0.210
0.240 2.962 0.211
0.241 2.948 0.212
0.242 2.934 0.213
0.243 2.921 0.214
0.244 2.907 0.215
0.245 2.893 0.216
0.246 2.879 0.217
0.247 2.865 0.218
0.248 2.851 0.219
0.249 2.837 0.220
0.250 2.823 0.221
0.251 2.809 0.222
0.252 2.795 0.223
0.253 2.781 0.224
0.254 2.767 0.225
0.255 2.752 0.227
0.256 2.738 0.228
0.257 2.724 0.229
